# provenance
# target	aptus data-acquisition brief target 2 — communication scenarios (file 2 of 2): the scope item <-> communication scenario bridge
# source_url	https://help.sap.com/docs/s4hana-best-practices/s4cld-api/available-interfaces-for-your-selected-scope
# source_title	SAP S/4HANA Cloud Public Edition — "Available Interfaces for Your Selected Scope" (SAP_S4HANA_BEST_PRACTICES, version 2608). SAP's own words: "This overview provides a mapping of SAP S/4HANA Cloud Public Edition scope items and available APIs in the respective business context".
# source_table_columns	Scope Item ID | Description | Interface ID | Interface Description | Interface Type | Communication Scenario ID | New This Release | Link to Set-Up Instructions
# access_method	anonymous read of help.sap.com's own published content service (http.svc/pagecontent). No login, no api.sap.com traffic, no DOM scraping.
# date_read	2026-09-07
# release	2608
# rows_in_source_table	5658
# completeness	complete for this source: every row of the published table was parsed, and 1149 distinct scope-item/scenario pairs resulted. Floor with respect to SAP overall — a scope item whose scenario SAP documents only in its Set-Up Instructions (SAP Signavio Process Navigator, login required) and not in this table is not here, and the size of that gap cannot be measured from this source.
# scope_items_covered	353 distinct scope items appear in the table
# link_source	PUBLISHED on every row: SAP states the scope item and the communication scenario in the same table row. No row in this file is derived.
# empty_columns	mandatory is empty on every row: the published table does not state whether a scenario is mandatory or optional for the scope item. SAP states that per scope item in its Set-Up Instructions. Empty means not published, not "optional".
# empty_scope_item_id	17 source rows carry no scope item because SAP marks them "Relevant for solution" (the interface applies to the whole solution, not one scope item). They are kept with an empty scope_item_id and the evidence says so, rather than dropped.
# not_claimed	this file states what SAP publishes for release 2608. It says nothing about what any tenant has activated or arranged.
scope_item_id	comm_scenario_id	mandatory	source_url	link_source	evidence
16R	SAP_COM_1002		https://help.sap.com/docs/s4hana-best-practices/s4cld-api/available-interfaces-for-your-selected-scope	PUBLISHED	SAP published table "Available Interfaces for Your Selected Scope" (2608) lists scope item 16R ("Bank Integration with SAP Multi-Bank Connectivity") against Communication Scenario ID SAP_COM_1002 on 3 row(s); interface(s): /cxf/fsn/corp/payments_, /cxf/fsn/corp/statements/ack_, /cxf/fsn/corp/statements/pull_; interface type(s): HTTP.
16T	SAP_COM_0294		https://help.sap.com/docs/s4hana-best-practices/s4cld-api/available-interfaces-for-your-selected-scope	PUBLISHED	SAP published table "Available Interfaces for Your Selected Scope" (2608) lists scope item 16T ("Intercompany Processes – Project-Based Services") against Communication Scenario ID SAP_COM_0294 on 10 row(s); interface(s): API_PURGPRCGCONDITIONRECORD_SRV_0001, API_PURGPRICINGCONDITIONTYPE_SRV_0001, API_PURGPRICINGPROCEDURE_SRV_0001, API_SLSPRCGACCESSSEQUENCE_0001_G4BA, API_SLSPRCGCNDNEXCLUSION_0001_G4BA, API_SLSPRCGCONDITIONFIELD_0001_G4BA, API_SLSPRCGCONDITIONTABLE_0001_G4BA, API_SLSPRICINGCONDITIONRECORD_SRV_0001, API_SLSPRICINGCONDITIONTYPE_SRV_0001, API_SLSPRICINGPROCEDURE_SRV_0001; interface type(s): OData.
16T	SAP_COM_0295		https://help.sap.com/docs/s4hana-best-practices/s4cld-api/available-interfaces-for-your-selected-scope	PUBLISHED	SAP published table "Available Interfaces for Your Selected Scope" (2608) lists scope item 16T ("Intercompany Processes – Project-Based Services") against Communication Scenario ID SAP_COM_0295 on 2 row(s); interface(s): CO_MMCM_ESR_PURG_PRICING_COND, CO_SDCM_ESR_SALES_PRICING_COND; interface type(s): SOAP.
16T	SAP_COM_0421		https://help.sap.com/docs/s4hana-best-practices/s4cld-api/available-interfaces-for-your-selected-scope	PUBLISHED	SAP published table "Available Interfaces for Your Selected Scope" (2608) lists scope item 16T ("Intercompany Processes – Project-Based Services") against Communication Scenario ID SAP_COM_0421 on 2 row(s); interface(s): CO_EDO_TR_CLIENT_EDESPATCH_SE1, CO_EDO_TR_CLIENT_EDESPATCH_SER; interface type(s): SOAP.
16T	SAP_COM_0422		https://help.sap.com/docs/s4hana-best-practices/s4cld-api/available-interfaces-for-your-selected-scope	PUBLISHED	SAP published table "Available Interfaces for Your Selected Scope" (2608) lists scope item 16T ("Intercompany Processes – Project-Based Services") against Communication Scenario ID SAP_COM_0422 on 4 row(s); interface(s): CO_EDO_TR_CLIENT_EINVOICE_SER1, CO_EDO_TR_CLIENT_EINVOICE_SER3, CO_EDO_TR_CLIENT_EINVOICE_SERV, CO_EDO_TR_CONS_INV_TRANSM_SERV; interface type(s): SOAP.
18J	SAP_COM_0102		https://help.sap.com/docs/s4hana-best-practices/s4cld-api/available-interfaces-for-your-selected-scope	PUBLISHED	SAP published table "Available Interfaces for Your Selected Scope" (2608) lists scope item 18J ("Requisitioning") against Communication Scenario ID SAP_COM_0102 on 3 row(s); interface(s): API_CV_ATTACHMENT_SRV_0001, API_PURCHASEREQUISITION_2_G4BA, API_PURCHASEREQ_PROCESS_SRV_0001; interface type(s): OData.
18J	SAP_COM_0239		https://help.sap.com/docs/s4hana-best-practices/s4cld-api/available-interfaces-for-your-selected-scope	PUBLISHED	SAP published table "Available Interfaces for Your Selected Scope" (2608) lists scope item 18J ("Requisitioning") against Communication Scenario ID SAP_COM_0239 on 3 row(s); interface(s): CO_MMPUR_PR_ITEM_PRC_NOTIF, CO_PUR_REQUISITION_STATUS_OUT, MMPUR_PURREQUISITIONREQUEST_IN; interface type(s): SOAP.
18J	SAP_COM_0294		https://help.sap.com/docs/s4hana-best-practices/s4cld-api/available-interfaces-for-your-selected-scope	PUBLISHED	SAP published table "Available Interfaces for Your Selected Scope" (2608) lists scope item 18J ("Requisitioning") against Communication Scenario ID SAP_COM_0294 on 10 row(s); interface(s): API_PURGPRCGCONDITIONRECORD_SRV_0001, API_PURGPRICINGCONDITIONTYPE_SRV_0001, API_PURGPRICINGPROCEDURE_SRV_0001, API_SLSPRCGACCESSSEQUENCE_0001_G4BA, API_SLSPRCGCNDNEXCLUSION_0001_G4BA, API_SLSPRCGCONDITIONFIELD_0001_G4BA, API_SLSPRCGCONDITIONTABLE_0001_G4BA, API_SLSPRICINGCONDITIONRECORD_SRV_0001, API_SLSPRICINGCONDITIONTYPE_SRV_0001, API_SLSPRICINGPROCEDURE_SRV_0001; interface type(s): OData.
18J	SAP_COM_0295		https://help.sap.com/docs/s4hana-best-practices/s4cld-api/available-interfaces-for-your-selected-scope	PUBLISHED	SAP published table "Available Interfaces for Your Selected Scope" (2608) lists scope item 18J ("Requisitioning") against Communication Scenario ID SAP_COM_0295 on 2 row(s); interface(s): CO_MMCM_ESR_PURG_PRICING_COND, CO_SDCM_ESR_SALES_PRICING_COND; interface type(s): SOAP.
19E	SAP_COM_0123		https://help.sap.com/docs/s4hana-best-practices/s4cld-api/available-interfaces-for-your-selected-scope	PUBLISHED	SAP published table "Available Interfaces for Your Selected Scope" (2608) lists scope item 19E ("Supplier Classification and Segmentation") against Communication Scenario ID SAP_COM_0123 on 1 row(s); interface(s): API_PURCHASING_CATEGORY_SRV_0001; interface type(s): OData.
