# provenance
# target	aptus data-acquisition brief target 3 — what SAP does NOT support (negative evidence register)
# source	help.sap.com, product SAP S/4HANA Cloud Public Edition, version 2608.500, state PRODUCTION
# source_url	one per row, in the source_url column; every row cites the exact topic it was read from
# access_method	anonymous reads of help.sap.com's own published content service (http.svc/deliverableMetadata, http.svc/pagecontent). No login, no api.sap.com traffic, no DOM scraping.
# date_read	2026-09-07
# deliverables_read	55 (40 country/region localisation deliverables including Malaysia, plus SAP Document and Reporting Compliance, Country/Region-Specific Functions, Extend and Integrate, Extensibility for Electronic Document Processing, SAP Intelligent Real Estate, Manage, Protect, International Trade, Finance, Contract Accounting, Public Sector, Banking, Insurance, Oil & Gas, and the 3-system-landscape migration troubleshooting guide)
# topics_read	13176 listed in those deliverables' tables of contents; 12959 returned a body
# statements_found	659 sentences matched the negation patterns; 539 kept after the filters below
# extraction_rule	sentence-level. A sentence is kept when it contains one of: is/are/was/were/can/could/will/would/shall/may/might/do/does/did/has/have + not + (supported|available|released|possible|permitted|allowed|covered|provided|delivered|offered); does/do not support; is/are unsupported; not supported by/for/in/with/on; no plans/support to/for; out of scope; is not part of; is/are excluded from; is/are not in scope.
# filter_rule	dropped 90 sentences opening with a conditional connector (If/When/Unless/Since/Because/While/Although/In case/...) and 20 whose negated subject is itself a conditional clause, because those state a condition rather than a product limitation; dropped 4 affirmative sentences ("You can ...") whose negation sits in a parenthetical relative clause; dropped 1 describing a transient example state; dropped 5 whose subject could not be isolated.
# column_source	capability=the title of the SAP topic the sentence was read from, verbatim. It is SAP's heading, NOT an aptus classification.
# column_source	scope_item_ids=scope item codes appearing IN THE SENTENCE ITSELF and present in the 2608 scope item set (sap-references/2608 Scope sheet, plus the codes in the published Available Interfaces table). Empty on most rows because SAP writes these statements about features, not scope items — an empty cell is not a claim that no scope item is affected.
# column_source	country=the country/region deliverable the topic belongs to; where the topic is not in a country deliverable, a country named explicitly in the sentence. Empty means the statement is product-wide or SAP did not name a country.
# column_source	what_is_not_supported=mechanically extracted from SAP's own sentence: the text preceding the negation verb, after the last connector (however/but/although/while/;/because/since/therefore) and with a leading conjunction stripped. Where nothing precedes the negation, the text following it is used. No wording was added.
# column_source	sap_statement_verbatim=the sentence exactly as SAP published it, whitespace-normalised only. Never softened, never paraphrased, never turned into a caveat.
# column_source	source_type=Help on every row. SAP Notes and Knowledge Base Articles live behind authentication on me.sap.com and were NOT read in this pass, so the KBA and Note families named in the brief are still unharvested — this file is the Help-portal slice of the register, not the register.
# column_source	source_id=the SAP loio, SAP's own stable document id for the topic
# column_source	released_on=empty on every row: help.sap.com publishes a content release (2608) for the document, not a release date for the individual statement. The release for every row in this file is 2608.
# column_source	future_support_stated=a clause from the same or the next sentence in which SAP says something about future support (no plans / not planned / in a future release / currently not / as of now / not yet), verbatim. Empty means SAP said nothing about the future there, NOT that support is planned.
# completeness	floor, and deliberately so. 55 of the product's deliverables were read, chosen because localisation and compliance content is where exclusions are stated; the other ~76 discovered deliverables and every deliverable outside this product were not read. The register is a lower bound on published exclusions, not a census.
# known_gap	the brief's own example — the Real Estate (RE-FX) invoice exclusion from the Malaysian e-invoice solution — is NOT in this file. It was not found on any help.sap.com page reachable without authentication in this pass. It is the class of statement SAP publishes in a KBA, and KBAs need a signed-in me.sap.com session. That gap is stated rather than filled.
# countries_covered	Austria=6, Belgium=4, Brazil=12, Chile=3, China=8, Colombia=9, Croatia=6, Czech Republic=2, Denmark=4, Egypt=4, Finland=2, France=5, Greece=5, Hungary=11, India=26, Ireland=6, Italy=10, Kazakhstan=4, Luxembourg=2, Malaysia=11, Mexico=11, Netherlands=5, Peru=6, Poland=19, Portugal=16, Romania=14, Slovakia=4, Slovenia=2, South Korea=8, Spain=8, Sweden=5, Switzerland=4, Taiwan=3, Thailand=4, Turkey=2, Ukraine=2, United Kingdom=7, United States=15
# rows_without_country	264
# not_claimed	this file states what SAP publishes for release 2608. It says nothing about what any tenant has activated.
capability	scope_item_ids	country	what_is_not_supported	sap_statement_verbatim	source_type	source_id	source_url	released_on	future_support_stated
General Configuration for Read Access Logging in Electronic Documents		Austria	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	21bbee79c7664700b79cc2037c2d77d4	https://help.sap.com/docs/SAP_S4HANA_CLOUD/47201366da8a460faad26dfe2c0b36a2/21bbee79c7664700b79cc2037c2d77d4.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Austria	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	c273219133834496bee1de646beaa588	https://help.sap.com/docs/SAP_S4HANA_CLOUD/47201366da8a460faad26dfe2c0b36a2/c273219133834496bee1de646beaa588.html?version=2608.500		
Generating the Structural Business Statistics Report		Austria	Manual submission	Manual submission is not supported.	Help	d0df4f386af54382a10bae2e3d0dc9d9	https://help.sap.com/docs/SAP_S4HANA_CLOUD/47201366da8a460faad26dfe2c0b36a2/d0df4f386af54382a10bae2e3d0dc9d9.html?version=2608.500		
Maintaining the Financial Statement Version		Austria	Due to technical restrictions in the FSV nodes, IDs that are longer than ten characters	Due to technical restrictions in the FSV nodes, IDs that are longer than ten characters are not allowed.	Help	8d64ee5923db4b5d9aaaf0ce7e384449	https://help.sap.com/docs/SAP_S4HANA_CLOUD/47201366da8a460faad26dfe2c0b36a2/8d64ee5923db4b5d9aaaf0ce7e384449.html?version=2608.500		
Pro Rata VAT Processing		Austria	A change of the deductible or non-deductible part of input tax in a subsequent year	A change of the deductible or non-deductible part of input tax in a subsequent year is not part of this function.	Help	29292392946c4825aea44a841e414604	https://help.sap.com/docs/SAP_S4HANA_CLOUD/47201366da8a460faad26dfe2c0b36a2/29292392946c4825aea44a841e414604.html?version=2608.500		
Setting Up the Structural Business Statistics Report		Austria	the manual submission (that is, the manual or electronic file format or data for manual input)	Note that the manual submission (that is, the manual or electronic file format or data for manual input) is not supported.	Help	7df441e0b941431e87162c9750ea4cbc	https://help.sap.com/docs/SAP_S4HANA_CLOUD/47201366da8a460faad26dfe2c0b36a2/7df441e0b941431e87162c9750ea4cbc.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Belgium	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	6ef7bfc4ed9e4497b20558fbbd0bfdf8	https://help.sap.com/docs/SAP_S4HANA_CLOUD/fba518519f834ed99011786d831ee504/6ef7bfc4ed9e4497b20558fbbd0bfdf8.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Belgium	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	f658151d9b6341d69d08bd03091ad4b2	https://help.sap.com/docs/SAP_S4HANA_CLOUD/fba518519f834ed99011786d831ee504/f658151d9b6341d69d08bd03091ad4b2.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Belgium	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	4b662c187f2b4d47aecbf355844ef17e	https://help.sap.com/docs/SAP_S4HANA_CLOUD/fba518519f834ed99011786d831ee504/4b662c187f2b4d47aecbf355844ef17e.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Belgium	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	1ba99946440d4360b9829dfda081a03c	https://help.sap.com/docs/SAP_S4HANA_CLOUD/fba518519f834ed99011786d831ee504/1ba99946440d4360b9829dfda081a03c.html?version=2608.500		
API for Nota Fiscal - Create, Update		Brazil	With this service, it	With this service, it is not possible to:	Help	6a7e35da2f4e45ee9a0be69b61bf7765	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0864cb07010642b3bde45a20de4975bc/6a7e35da2f4e45ee9a0be69b61bf7765.html?version=2608.500		
Add Condition Types to a Custom Pricing Procedure		Brazil	Custom condition types that are relevant for tax calculation	Custom condition types that are relevant for tax calculation are not supported.	Help	1165863735154e23996aaf920174411b	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0864cb07010642b3bde45a20de4975bc/1165863735154e23996aaf920174411b.html?version=2608.500		
