# provenance
# target	aptus Philippines brief target 3 — Philippine chart of accounts
# source_file	sap-references/2608/BP_CLD_ENTPR_2608_Account_Master_Data_for_YCOA.xlsx, sheet "Template CoA YCOA"
# source_origin	SAP Best Practices 2608 account master data for the YCOA template chart of accounts
# finding	NO HARVEST WAS NEEDED, AND THERE IS NO SEPARATE PHILIPPINE CHART. This workbook is the country-independent one already in the repository. It carries one column per country company code — "PH (5810)" is the Philippines — marking which YCOA accounts that country uses. It also carries 20 "Alternative Account Number" columns for countries that have their own local chart (AT, BE, BR, CH, CN, CZ, DE, ES, FI, FR, HU, JP, LU, NO, PT, RO, RU, SE, TR, TW). THERE IS NO PH ALTERNATIVE-ACCOUNT COLUMN: SAP publishes the Philippines as using the YCOA template chart directly, with no local chart variant. Malaysia has none either.
# date_read	2026-09-07
# release	2608
# completeness	complete for this source. 865 accounts on the sheet; 578 are marked for the Philippine company code and are the rows of this file.
# comparison_to_malaysia	the brief asks for this explicitly: Malaysia is marked on 570 accounts of the same sheet, the Philippines on 578. The brief warns that a PH count landing on exactly Malaysia's 871 would suggest an accidental re-read of the MY file — it does not. Note also that aptus's 871 SapGlAccount rows did NOT come from this sheet (865 accounts); they came from BP_CLD_ENTPR_2608_Account_Master_Data_for_YCOA_MY.xlsx, sheet "YCOA_local", which is company-code-level MY data. The Philippine equivalent of THAT file (a "..._PH.xlsx" local workbook) is not in the repository and is not published anonymously — see the notes file.
# column_source	gl_account="G/L Account Number (I_SAKNR)" · long_text="G/L Acct Long Text (SKAT)" · account_group="G/L Account Group" · account_type="Type of a General Ledger Account" · chart_of_accounts="Chart of Accounts", all verbatim
# empty_columns	short_text is empty on every row: this sheet publishes only the long text (SKAT). pl_or_bs is empty on every row: this sheet publishes no balance-sheet / P&L indicator — the MY local workbook does ("Balance Sheet Account", "P&L Statement Acct Type") and the Philippine local workbook would too, but neither is available here.
# columns_not_carried	the source publishes more than the brief's eight columns — Item Category, Functional Area, Cost Element Category, Account Category, Account Purpose, account hierarchy level, group account number and the 20 alternative-chart columns. They are NOT lost: the workbook is in the repository at the path above. They are omitted here only because the brief fixes the column list.
# empty	a blank cell means the workbook publishes nothing there.
# not_claimed	this is SAP's Best Practices template content for release 2608, not any client's chart of accounts.
country_variant	gl_account	short_text	long_text	account_group	account_type	pl_or_bs	chart_of_accounts
PH	10010000		Petty Cash	FIN.	X		YCOA
PH	10020000		Petty Cash Journal - postings automatic only	FIN.	X		YCOA
PH	11001000		Bank 1 - Bank (Main) Account	FIN.	X		YCOA
PH	11001010		Bank 1 - Cash Payment	FIN.	X		YCOA
PH	11001020		Bank 1 - Bank Transfer (Domestic/SEPA/Foreign)	FIN.	X		YCOA
PH	11001030		Bank 1 - Other Interim Transfers	FIN.	X		YCOA
PH	11001040		Bank 1 - Direct Debit	FIN.	X		YCOA
PH	11001050		Bank 1 - Checks Out	FIN.	X		YCOA
PH	11001060		Bank 1 - Checks In	FIN.	X		YCOA
PH	11001070		Bank 1 - Check Clearing Account	FIN.	X		YCOA
PH	11001080		Bank 1 - Cash Receipt	FIN.	X		YCOA
PH	11001090		Bank 1 - Technical Account for Bank Statement	FIN.	X		YCOA
PH	11001099		Bank 1 - Foreign Currency Adjustment	SAKO	X		YCOA
PH	11001100		Bank 1 - Bank (Main) Account Foreign Currency	FIN.	X		YCOA
PH	11002000		Bank 2 - Bank (Main) Account	FIN.	X		YCOA
PH	11002010		Bank 2 - Cash Payment	FIN.	X		YCOA
PH	11002020		Bank 2 - Bank Transfer (Domestic/SEPA/Foreign)	FIN.	X		YCOA
PH	11002030		Bank 2 - Other Interim Transfers	FIN.	X		YCOA
PH	11002040		Bank 2 - Direct Debit	FIN.	X		YCOA
PH	11002050		Bank 2 - Checks Out	FIN.	X		YCOA
PH	11002055		Bank 2 - BoE Out	FIN.	X		YCOA
PH	11002060		Bank 2 - Checks In	FIN.	X		YCOA
PH	11002065		Bank 2 - BoE Collection	FIN.	X		YCOA
PH	11002066		Bank 2 - BoE Discounting	FIN.	X		YCOA
PH	11002067		Bank2 - BoE Foreiting (AE)	FIN.	X		YCOA
PH	11002070		Bank 2 - Check Clearing Account	FIN.	X		YCOA
PH	11002080		Bank 2 - Cash Receipt	FIN.	X		YCOA
PH	11002090		Bank 2 - Technical Account for Bank Statement	FIN.	X		YCOA
PH	11002099		Bank 2 - Foreign Currency Adjustment	SAKO	X		YCOA
PH	11008000		Bank 3 - Digital Payments Acquirer Bank	FIN.	X		YCOA
PH	11008030		Bank 3 - Digital Payments Transfer Account	FIN.	X		YCOA
PH	11008070		Bank 3 - Digital Payments Acquirer Clrng (Stlmnt)	FIN.	X		YCOA
